epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,218.266,1.13548,0.92182,0.98375,0.82065,0.86039,0.80293,0.54499,1.08809,0.97086,1.05717,0.006469,0.006469,0.006469
109,220.118,1.13171,0.90701,1.01477,0.82065,0.86039,0.80293,0.54499,1.08809,0.97086,1.05717,0.006436,0.006436,0.006436
110,221.888,1.1343,0.94902,1.03633,0.84973,0.85065,0.8127,0.5536,1.08701,0.97476,1.0657,0.006403,0.006403,0.006403
111,223.674,1.10334,0.94314,1.00531,0.84973,0.85065,0.8127,0.5536,1.08701,0.97476,1.0657,0.00637,0.00637,0.00637
112,225.492,1.16305,0.95451,0.98116,0.84973,0.85065,0.8127,0.5536,1.08701,0.97476,1.0657,0.006337,0.006337,0.006337
113,227.272,1.16878,0.88972,0.99341,0.84973,0.85065,0.8127,0.5536,1.08701,0.97476,1.0657,0.006304,0.006304,0.006304
114,229.071,1.1335,1.0495,1.03573,0.83394,0.85678,0.81356,0.55641,1.08637,0.98898,1.0694,0.006271,0.006271,0.006271
115,231.308,1.15534,0.87462,1.009,0.83394,0.85678,0.81356,0.55641,1.08637,0.98898,1.0694,0.006238,0.006238,0.006238
116,233.343,1.13668,0.89195,1.01814,0.83394,0.85678,0.81356,0.55641,1.08637,0.98898,1.0694,0.006205,0.006205,0.006205
117,235.14,1.08714,0.84421,0.98621,0.81205,0.85386,0.8034,0.55397,1.07219,0.96791,1.05394,0.006172,0.006172,0.006172
118,236.943,1.14833,0.87763,0.97624,0.81205,0.85386,0.8034,0.55397,1.07219,0.96791,1.05394,0.006139,0.006139,0.006139
119,238.769,1.15587,0.84992,0.97626,0.81205,0.85386,0.8034,0.55397,1.07219,0.96791,1.05394,0.006106,0.006106,0.006106
120,240.59,1.11449,0.90878,1.00758,0.8067,0.85543,0.80148,0.5512,1.08278,0.97913,1.04778,0.006073,0.006073,0.006073
121,242.476,1.08648,0.86131,0.96734,0.8067,0.85543,0.80148,0.5512,1.08278,0.97913,1.04778,0.00604,0.00604,0.00604
122,244.813,1.17789,0.93252,0.99478,0.8067,0.85543,0.80148,0.5512,1.08278,0.97913,1.04778,0.006007,0.006007,0.006007
