epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,237.469,1.08655,0.85774,1.03289,0.71605,0.74569,0.71862,0.48195,1.13851,1.1421,1.14405,0.006997,0.006997,0.006997
93,239.807,1.12664,0.84054,0.9965,0.71605,0.74569,0.71862,0.48195,1.13851,1.1421,1.14405,0.006964,0.006964,0.006964
94,241.88,1.17231,0.80551,0.99784,0.77707,0.78346,0.77077,0.51623,1.14183,1.00633,1.13961,0.006931,0.006931,0.006931
95,243.859,1.08016,0.85664,1.01232,0.77707,0.78346,0.77077,0.51623,1.14183,1.00633,1.13961,0.006898,0.006898,0.006898
96,245.824,1.11491,0.86211,0.99962,0.77707,0.78346,0.77077,0.51623,1.14183,1.00633,1.13961,0.006865,0.006865,0.006865
97,248.542,1.09076,0.84428,1.04887,0.77707,0.78346,0.77077,0.51623,1.14183,1.00633,1.13961,0.006832,0.006832,0.006832
98,250.778,1.10158,0.80532,1.00537,0.83292,0.85783,0.79991,0.54816,1.10182,0.8876,1.12318,0.006799,0.006799,0.006799
99,252.871,1.1369,0.8593,1.00377,0.83292,0.85783,0.79991,0.54816,1.10182,0.8876,1.12318,0.006766,0.006766,0.006766
100,254.904,1.09992,0.81417,1.01,0.83292,0.85783,0.79991,0.54816,1.10182,0.8876,1.12318,0.006733,0.006733,0.006733
101,256.941,1.11138,0.76571,0.99911,0.8151,0.81744,0.75406,0.51187,1.10519,0.96044,1.12564,0.0067,0.0067,0.0067
102,258.908,1.099,0.79615,1.01984,0.8151,0.81744,0.75406,0.51187,1.10519,0.96044,1.12564,0.006667,0.006667,0.006667
103,262.273,1.11961,0.81733,1.01378,0.8151,0.81744,0.75406,0.51187,1.10519,0.96044,1.12564,0.006634,0.006634,0.006634
104,264.343,1.0684,0.83185,1.03149,0.81409,0.83529,0.78502,0.53595,1.08118,0.94762,1.1178,0.006601,0.006601,0.006601
105,266.325,1.13141,0.84641,1.0139,0.81409,0.83529,0.78502,0.53595,1.08118,0.94762,1.1178,0.006568,0.006568,0.006568
106,268.426,1.13725,0.77929,0.9871,0.81409,0.83529,0.78502,0.53595,1.08118,0.94762,1.1178,0.006535,0.006535,0.006535
107,270.409,1.11843,0.82771,1.01913,0.82776,0.86381,0.81012,0.55538,1.09493,0.88604,1.12514,0.006502,0.006502,0.006502
108,272.436,1.12554,0.79473,0.98774,0.82776,0.86381,0.81012,0.55538,1.09493,0.88604,1.12514,0.006469,0.006469,0.006469
109,275.227,1.10598,0.77535,1.01989,0.82776,0.86381,0.81012,0.55538,1.09493,0.88604,1.12514,0.006436,0.006436,0.006436
110,277.493,1.10415,0.81812,1.04554,0.84044,0.85379,0.81347,0.56125,1.07881,0.86053,1.11349,0.006403,0.006403,0.006403
111,279.505,1.07148,0.79616,1.00871,0.84044,0.85379,0.81347,0.56125,1.07881,0.86053,1.11349,0.00637,0.00637,0.00637
112,281.559,1.13538,0.81274,0.9811,0.84044,0.85379,0.81347,0.56125,1.07881,0.86053,1.11349,0.006337,0.006337,0.006337
113,283.594,1.12938,0.75673,0.99493,0.84044,0.85379,0.81347,0.56125,1.07881,0.86053,1.11349,0.006304,0.006304,0.006304
114,285.611,1.1157,0.8811,1.03884,0.83303,0.85223,0.81308,0.55141,1.12392,0.85176,1.11997,0.006271,0.006271,0.006271
115,288.355,1.14516,0.74814,1.0127,0.83303,0.85223,0.81308,0.55141,1.12392,0.85176,1.11997,0.006238,0.006238,0.006238
116,290.71,1.13273,0.76718,1.0233,0.83303,0.85223,0.81308,0.55141,1.12392,0.85176,1.11997,0.006205,0.006205,0.006205
117,292.742,1.08258,0.71938,0.99301,0.83211,0.85755,0.81145,0.551,1.11307,0.83424,1.11862,0.006172,0.006172,0.006172
118,294.791,1.11465,0.76372,0.97604,0.83211,0.85755,0.81145,0.551,1.11307,0.83424,1.11862,0.006139,0.006139,0.006139
119,296.818,1.12575,0.72644,0.97542,0.83211,0.85755,0.81145,0.551,1.11307,0.83424,1.11862,0.006106,0.006106,0.006106
120,298.902,1.11392,0.80912,1.01896,0.83051,0.85974,0.81698,0.55048,1.1386,0.84341,1.13061,0.006073,0.006073,0.006073
121,301.464,1.07554,0.76777,0.97349,0.83051,0.85974,0.81698,0.55048,1.1386,0.84341,1.13061,0.00604,0.00604,0.00604
122,303.873,1.16853,0.81677,1.00426,0.83051,0.85974,0.81698,0.55048,1.1386,0.84341,1.13061,0.006007,0.006007,0.006007
123,305.933,1.14405,0.7923,0.99782,0.84151,0.86559,0.82546,0.56067,1.12383,0.81757,1.12619,0.005974,0.005974,0.005974
124,307.937,1.13179,0.7659,0.98948,0.84151,0.86559,0.82546,0.56067,1.12383,0.81757,1.12619,0.005941,0.005941,0.005941
125,310.298,1.12691,0.85821,1.03246,0.84151,0.86559,0.82546,0.56067,1.12383,0.81757,1.12619,0.005908,0.005908,0.005908
126,312.416,1.13365,0.77336,1.0219,0.86946,0.84461,0.82367,0.57101,1.07823,0.80975,1.1035,0.005875,0.005875,0.005875
127,315.032,1.1252,0.76525,0.98936,0.86946,0.84461,0.82367,0.57101,1.07823,0.80975,1.1035,0.005842,0.005842,0.005842
128,317.531,1.06469,0.80427,1.03679,0.86946,0.84461,0.82367,0.57101,1.07823,0.80975,1.1035,0.005809,0.005809,0.005809
129,319.604,1.09949,0.75474,1.02492,0.86946,0.84461,0.82367,0.57101,1.07823,0.80975,1.1035,0.005776,0.005776,0.005776
130,321.751,1.10121,0.73201,0.96688,0.86641,0.85617,0.82637,0.57512,1.07783,0.79779,1.09998,0.005743,0.005743,0.005743
131,323.724,1.06868,0.73901,1.01685,0.86641,0.85617,0.82637,0.57512,1.07783,0.79779,1.09998,0.00571,0.00571,0.00571
132,325.847,1.12633,0.79663,0.9807,0.86641,0.85617,0.82637,0.57512,1.07783,0.79779,1.09998,0.005677,0.005677,0.005677
133,328.378,1.10037,0.76221,0.99494,0.83478,0.85697,0.82836,0.5799,1.07713,0.8346,1.10141,0.005644,0.005644,0.005644
134,330.884,1.11273,0.77483,1.01247,0.83478,0.85697,0.82836,0.5799,1.07713,0.8346,1.10141,0.005611,0.005611,0.005611
135,332.907,1.07055,0.72541,0.99026,0.83478,0.85697,0.82836,0.5799,1.07713,0.8346,1.10141,0.005578,0.005578,0.005578
136,335.015,1.08362,0.75627,0.96467,0.81611,0.82477,0.80772,0.56866,1.06964,0.89001,1.09713,0.005545,0.005545,0.005545
137,336.945,1.06048,0.74586,1.01317,0.81611,0.82477,0.80772,0.56866,1.06964,0.89001,1.09713,0.005512,0.005512,0.005512
138,338.948,1.07229,0.69933,0.96466,0.81611,0.82477,0.80772,0.56866,1.06964,0.89001,1.09713,0.005479,0.005479,0.005479
139,341.087,1.09785,0.88753,1.06212,0.83752,0.85432,0.82332,0.57599,1.07767,0.83216,1.09791,0.005446,0.005446,0.005446
140,343.643,1.07743,0.80482,1.04872,0.83752,0.85432,0.82332,0.57599,1.07767,0.83216,1.09791,0.005413,0.005413,0.005413
141,345.712,1.15965,0.78398,0.9986,0.83752,0.85432,0.82332,0.57599,1.07767,0.83216,1.09791,0.00538,0.00538,0.00538
142,347.744,1.08857,0.75363,0.97146,0.87258,0.85276,0.82915,0.57921,1.08035,0.79812,1.09855,0.005347,0.005347,0.005347
143,349.861,1.06262,0.75262,0.99043,0.87258,0.85276,0.82915,0.57921,1.08035,0.79812,1.09855,0.005314,0.005314,0.005314
144,351.746,1.1232,0.75461,1.01034,0.87258,0.85276,0.82915,0.57921,1.08035,0.79812,1.09855,0.005281,0.005281,0.005281
145,353.717,1.07585,0.74918,0.99089,0.87258,0.85276,0.82915,0.57921,1.08035,0.79812,1.09855,0.005248,0.005248,0.005248
146,356.492,1.10132,0.7709,0.96325,0.87135,0.86639,0.83225,0.58692,1.05198,0.76865,1.0917,0.005215,0.005215,0.005215
147,358.551,1.05773,0.73193,1.02977,0.87135,0.86639,0.83225,0.58692,1.05198,0.76865,1.0917,0.005182,0.005182,0.005182
148,360.566,1.06615,0.74546,0.95923,0.87135,0.86639,0.83225,0.58692,1.05198,0.76865,1.0917,0.005149,0.005149,0.005149
149,362.637,1.04935,0.72709,0.99753,0.87677,0.85896,0.83106,0.58049,1.07409,0.76451,1.09116,0.005116,0.005116,0.005116
150,364.647,1.13848,0.74888,1.00904,0.87677,0.85896,0.83106,0.58049,1.07409,0.76451,1.09116,0.005083,0.005083,0.005083
151,366.589,1.0783,0.75755,1.00467,0.87677,0.85896,0.83106,0.58049,1.07409,0.76451,1.09116,0.00505,0.00505,0.00505
152,369.243,1.07265,0.69448,0.96794,0.8718,0.86419,0.82972,0.57918,1.06093,0.78258,1.08222,0.005017,0.005017,0.005017
153,371.725,1.07266,0.76656,1.01616,0.8718,0.86419,0.82972,0.57918,1.06093,0.78258,1.08222,0.004984,0.004984,0.004984
154,373.724,1.08243,0.7631,1.0144,0.8718,0.86419,0.82972,0.57918,1.06093,0.78258,1.08222,0.004951,0.004951,0.004951
155,375.81,1.07754,0.74993,0.96691,0.86635,0.84459,0.82642,0.57606,1.07369,0.79832,1.08901,0.004918,0.004918,0.004918
